공고,회사명,공고 링크,위치,모집 기한,자격 조건,기술 스택
코스닥상장중견기업] 물류시스템 제어개발 경력직 채용,중견기업(300명이상),https://www.jobkorea.co.kr/Recruit/GI_Read/39849458?PageGbn=HH&logpath=1&stext=파이썬&listno=164,충남 전지역,~10/17(월),"['경력3년↑', '대졸↑', '정규직']","디스플레이, 반도체장비, C, C#, C++, Python, PLC"
코스닥상장중견기업] 제어설계 (PC) 경력직 채용,중견기업(300명이상),https://www.jobkorea.co.kr/Recruit/GI_Read/39849436?PageGbn=HH&logpath=1&stext=파이썬&listno=165,충남 전지역 외,~10/17(월),"['경력2년↑', '대졸↑', '정규직']","디스플레이, 반도체장비, 응용프로그래머, C, C#, C++, Python, FPGA, PLC"
코스닥상장중견기업] 제어설계(AGV/LGV) 경력직 채용,중견기업(300명이상),https://www.jobkorea.co.kr/Recruit/GI_Read/39849348?PageGbn=HH&logpath=1&stext=파이썬&listno=166,충남 전지역,~10/17(월),"['경력3년↑', '대졸↑', '정규직']","디스플레이, 반도체장비, C, C#, C++, Python"
[임상진단 유망 스타트업] 생물정보학 전문가(BI) Screening (신입/경력),중소기업(300명이하),https://www.jobkorea.co.kr/Recruit/GI_Read/39774947?PageGbn=HH&logpath=1&stext=파이썬&listno=167,대전 전지역,~10/14(금),"['경력', '석사↑', '정규직']","알고리즘개발, 통계분석, Bash, 생명정보학, 파이프라인개발, Cell-free DNA 분석, 암조기진단, NGS데이터분석, 바이오, 생명공학, 의약, 제약, Python, R, 데이터분석, 바이오, 의료, 미생물, 임상개발"
AI/Big Data 연구원(그룹사),전기전자대기업,https://www.jobkorea.co.kr/Recruit/GI_Read/39704786?PageGbn=HH&logpath=1&stext=파이썬&listno=168,충남 천안시 외,~10/31(월),"['경력6년↑', '대졸↑', '정규직']","자동제어, 전기제어, 전기회로, 전장, 제어, Python, 인공지능(AI), 빅데이터, 머신러닝(ML), 딥러닝"
[외국계 Abatement 장비사] Software Engineer 대리-과장급,중견기업(300명이상),https://www.jobkorea.co.kr/Recruit/GI_Read/39878270?PageGbn=HH&logpath=1&stext=파이썬&listno=169,충남 아산시 외,~10/18(화),"['경력5년↑', '대졸↑', '정규직']","기계, 기계설비, 메카트로닉스, 시스템프로그래머, 임베디드, 펌웨어, HMI, PLC, 제어, PLC"
[중견코스닥] 기술혁신팀 팀장급 모집,중견기업(300명이상),https://www.jobkorea.co.kr/Recruit/GI_Read/39843135?PageGbn=HH&logpath=1&stext=파이썬&listno=170,충북 청주시,~10/30(일),"['경력12년↑', '대졸↑', '정규직']","에너지, 공정관리, 생산관리, 기계, 설비"
[외국계 반도체 장비 부품사] Software Test Lead Engineer 과장-부장급,외국계 기업,https://www.jobkorea.co.kr/Recruit/GI_Read/39483563?PageGbn=HH&logpath=1&stext=파이썬&listno=171,충남 천안시,~11/23(수),"['경력8년↑', '대졸↑', '정규직']","공압기기, 기계, 기계설계, 기계설비, 유압기기, 소프트웨어, 테스트엔지니어, PLC"
[헬스케어스타트업] 의료 영상 기반 진단 보조 AI 솔루션 개발자 모십니다:),중소기업(300명이하),https://www.jobkorea.co.kr/Recruit/GI_Read/39262815?PageGbn=HH&logpath=1&stext=파이썬&listno=172,대전 중구 외,~11/01(화),"['경력5년↑', '대졸↑', '정규직']","서치펌, 헤드헌팅, 인공지능(AI), 딥러닝"
[10대그룹사] 발전소 IT개발 담당(충남 당진),대기업,https://www.jobkorea.co.kr/Recruit/GI_Read/39064011?PageGbn=HH&logpath=1&stext=파이썬&listno=173,충남 당진시,~10/13(목),"['경력3년↑', '대졸↑', '정규직']","에너지, 시스템프로그래머"
[알고리즘랩스] 파이썬 서버(백엔드) 개발자,(주)알고리즘랩스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42409081&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,상시채용,"['신입·경력', '석사↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' SE(시스템엔지니어) ']"
파이썬 개발자 모집(대전),(주)키네틱스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44075619&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/25(금),"['경력무관', '학력무관']","['Windows', ' Python', ' Pytorch', ' S/W', ' 전자 수정일 22/09/26 ']"
"[아이티존]Python/Java-빅데이터솔루션개발(정규직,대전)",(주)아이티존,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44187454&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,상시채용,"['신입·경력', '초대졸↑']","['데이터분석가', ' 데이터엔지니어', ' 백엔드/서버개발', ' 웹개발', ' 데이터마이닝 ']"
"Python/C++/C#/Unity-AI, Vision, 3D카메라[전문연가능]",(주)가치소프트,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43996539&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,채용시,"['경력무관', '대졸↑']","['알고리즘', ' 영상처리', ' 이미지프로세싱', ' Windows', ' C# ']"
[AI] Python JAVA 머신러닝 개발자 모집,(주)아이와즈,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43866858&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,채용시,"['경력', '학력무관']","['데이터라벨링', ' 데이터마이닝', ' 데이터시각화', ' 딥러닝', ' 머신러닝 ']"
"[경력&신입] 빅데이터 솔루션 개발-Python,Java(정규직) 채용",(주)아이티존,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44131276&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/03(목),"['신입·경력', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' SI개발', ' 데이터시각화', ' 머신러닝 ']"
신입/경력 개발자 모집(JAVA 및 Python),(주)아이넷테크,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43811332&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,채용시,"['경력무관', '학력무관']","['웹개발', ' Java', ' Python', ' SI·시스템통합', ' NI·네트워크통합 ']"
"프로그래밍(JAVA, Python) / 디자인 / OA 분야 강사 채용",(주)한국아이티전문학원,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44031964&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충북 청주시 상당구 ,채용시,"['경력무관', '초대졸↑']","['데이터분석가', ' 백엔드/서버개발', ' 앱개발', ' 웹개발', ' 프론트엔드 ']"
Vision/MFC/C# Python Tensorflow CUDA yolo v5 개발직,화랑,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43827712&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남 천안시 동남구 ,~ 10/22(토),"['경력무관', '초대졸↑']","['S/W', ' C#', ' VisualC·C++', ' C++', ' MFC ']"
"2022년 데이터분석, 개발 (Python/JAVA/SAS) 정규직 채용",(주)허브넷컴퍼니,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44080583&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/26(토),"['신입·경력', '대졸↑']","['데이터분석가', ' 빅데이터', ' AI(인공지능)', ' Python', ' Java ']"
캐논코리아 각 부문 채용 (본사/지사),캐논코리아 주식회사,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44123769&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 10/31(월),"['신입·경력', '초대졸↑']","['데이터엔지니어', ' 백엔드/서버개발', ' 보안컨설팅', ' 앱개발', ' 웹개발 ']"
2022년 하반기 코웨이 신입사원 모집,코웨이(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44170709&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,서울 구로구 ,~ 10/25(화),"['신입', '대졸↑']","['DBMS', ' ERP', ' SAP', ' Python', ' R ']"
2022 메디톡스 그룹 신입/경력사원 채용,(주)메디톡스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44150436&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 10/23(일),"['신입·경력', '학력무관']","['SE(시스템엔지니어)', ' ERP', ' 기업회계', ' 법률사무원', ' 인/허가 ']"
풀무원 각 부문 경력/신입사원 모집,(주)풀무원,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44088775&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,서울 강남구 ,~ 10/15(토),"['신입·경력', '고졸↑']","['데이터분석가', ' 데이터엔지니어', ' 백엔드/서버개발', ' 앱개발', ' 웹개발 ']"
어드밴텍케이알㈜ 신입/경력 채용,어드밴텍케이알(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44170308&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,서울 강서구 ,~ 10/23(일),"['신입·경력', '학력무관']","['기술지원', ' 데이터엔지니어', ' 웹개발', ' 웹마스터', ' 유지보수 ']"
22년 하반기 GS EPS 신입사원 수시채용/경력사원 상시채용,지에스이피에스(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44140694&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남 당진시 ,~ 10/18(화),"['신입·경력', '초대졸↑']","['앱개발', ' 웹개발', ' 정보보안', ' 인프라', ' 클라우드 ']"
신입사원 채용 및 채용연계형 인턴 모집 공고,교보생명보험(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44157995&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남전체 ,~ 10/24(월),"['신입', '대졸↑']","['데이터분석가', ' 데이터엔지니어', ' 백엔드/서버개발', ' 보안컨설팅', ' 앱개발 ']"
2022년 신입/경력직원 채용,제이비(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44144914&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남 아산시 ,~ 10/14(금),"['신입·경력', '대졸↑']","['데이터분석가', ' 데이터엔지니어', ' 유지보수', ' 정보보안', ' 데이터마이닝 ']"
도미노피자 각 부문 (자회사/관계사포함) 공개채용,청오디피케이(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44111077&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남전체 ,~ 11/01(화),"['경력무관', '학력무관']","['기술지원', ' 백엔드/서버개발', ' 보안컨설팅', ' 앱개발', ' 웹개발 ']"
자동차애프터마켓 ll 사세확장 전 부문 신입/경력 채용,오토앤(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43905109&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,경기 안양시 ,~ 10/31(월),"['신입·경력', '학력무관']","['백엔드/서버개발', ' 보안컨설팅', ' 앱개발', ' 웹개발', ' 웹마스터 ']"
2022년 하반기 (주)윕스 부문별 신입 및 경력사원 채용,(주)윕스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44092930&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,서울 마포구 ,내일마감,"['신입·경력', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 퍼블리셔', ' 프론트엔드', ' 빅데이터 ']"
2022년 한솔그룹 대졸 신입사원 모집,한솔그룹,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43987147&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,서울전체 ,~ 10/14(금),"['신입', '대졸↑']","['Windows', ' C#', ' C++', ' C언어', ' Java ']"
2022년 각 부문별 신입/경력 채용(대구 및 서울),주식회사 리만코리아,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44070300&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 11/09(수),"['신입·경력', '학력무관']","['백엔드/서버개발', ' 정보보안', ' 프론트엔드', ' SE(시스템엔지니어)', ' 네트워크 ']"
하반기 각 부문별 신입 채용,(주)키파운드리,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44184349&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충북 청주시 흥덕구 ,~ 10/23(일),"['신입', '대졸↑']","['C++', ' C언어', ' Python', ' VisualC·C++', ' 컴플라이언스 ']"
각 분야 채용공고,(주)디모아,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42912594&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,서울 용산구 ,~ 10/14(금),"['신입·경력', '학력무관']","['데이터엔지니어', ' 유지보수', ' SE(시스템엔지니어)', ' 빅데이터', ' 클라우드 ']"
한국유미코아 연구소/각 부문별 신입/경력 채용공고,한국유미코아(유),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44157728&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남 천안시 서북구 ,~ 10/31(월),"['신입·경력', '대졸↑']","['SAP', ' MSSQL', ' MySQL', ' NoSQL', ' SQL ']"
[교육비 전액무료] 인공지능(AI)/소프트웨어(SW) 교육생 모집,한국표준협회,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44025810&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 11/23(수),"['경력무관', '학력무관']","['기술지원', ' 데이터분석가', ' 데이터엔지니어', ' 백엔드/서버개발', ' 웹개발 ']"
[kt ds] 2022년 각 부문별 경력사원 수시채용,(주)케이티디에스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42080679&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,서울 서초구 ,~ 12/31(토),"['경력', '학력무관']","['게임개발', ' 데이터분석가', ' 데이터엔지니어', ' 백엔드/서버개발', ' 보안컨설팅 ']"
2022년 각 부문별 신입/경력 채용,(주)파미,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44107296&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/18(화),"['신입·경력', '초대졸↑']","['DBA', ' IT컨설팅', ' SE(시스템엔지니어)', ' 데이터마이닝', ' 딥러닝 ']"
한국갤럽조사연구소 각 부문 정규직 모집,(주)한국갤럽조사연구소,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44143618&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 10/21(금),"['신입·경력', '학력무관']","['데이터분석가', ' 데이터엔지니어', ' 웹개발', ' 퍼블리셔', ' 데이터라벨링 ']"
[솔탑] 2022년 각 부문 신입 / 경력 모집,(주)솔탑,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44151163&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 11/05(토),"['경력무관', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' H/W', ' S/W', ' Java ']"
2023년 신입사원 대규모 공개 채용,슈어소프트테크(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44045057&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,서울 강남구 ,~ 10/16(일),"['신입', '초대졸↑']","['백엔드/서버개발', ' 앱개발', ' 웹개발', ' 프론트엔드', ' QA/테스터 ']"
㈜마이크로인피니티 정규직 사원 모집,(주)마이크로인피니티,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43869135&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 10/31(월),"['경력무관', '고졸↑']","['임베디드', ' 펌웨어', ' H/W', ' S/W', ' C# ']"
2022년 10월 경력사원 모집 (제조지능화센터),(주)엘지에너지솔루션,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44150897&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충북 청주시 ,~ 10/18(화),"['경력3년↑', '학력무관']","['데이터분석가', ' 데이터시각화', ' 딥러닝', ' 빅데이터', ' 알고리즘 ']"
[공개채용] 2022년 (주)지니 하반기 공개채용,(주)지니,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44048964&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 서구 ,~ 10/14(금),"['경력무관', '학력무관']","['IT컨설팅', ' 영업직', ' 가맹점영업', ' 기업영업', ' 경영분석 ']"
2022년 하반기 각 부문 신입/경력 공채,(주)오토실리콘,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44158795&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/31(월),"['신입·경력', '대졸↑']","['데이터분석가', ' 데이터엔지니어', ' 백엔드/서버개발', ' 보안컨설팅', ' 웹개발 ']"
2022년 하반기 수시채용,(주)에스아이에이,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44093209&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 10/31(월),"['신입·경력', '학력무관']","['기술지원', ' 데이터엔지니어', ' 백엔드/서버개발', ' 정보보안', ' 프론트엔드 ']"
[뉴로메카] 로보틱스부문 CS엔지니어 및 생산관리 인력 채용,(주)뉴로메카,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44041780&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/22(토),"['경력무관', '고졸↑']","['Python', ' 문서작성', ' 로봇엔지니어', ' 로봇설계', ' 기계조작원 ']"
프론트엔드 개발자,(주)사미텍,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44120555&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,상시채용,"['신입·경력', '초대졸↑']","['웹개발', ' 퍼블리셔', ' 프론트엔드', ' 반응형웹', ' 웹표준·웹접근성 ']"
사세확장으로 인한 신규 직원 채용,(주)피코팩,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44092410&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 대덕구 ,~ 10/31(월),"['경력무관', '대졸↑']",['해']
[쿠팡] 안성5 TW Consolidation 정규직 현장관리자 모집,쿠팡풀필먼트서비스(유),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43930178&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남전체 ,채용시,"['경력무관', '고졸↑']","['물류관리', ' 유통관리', ' 입고/입하', ' 출고/출하', ' 유통업 ']"
한국산업데이터표준협회(KSTEP) 연구원 채용,(사)한국산업데이터표준협회,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44084605&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/27(목),"['경력무관', '대졸↑']","['전산회계', ' 계산서발행', ' 관리회계', ' 기업회계', ' 예산관리 ']"
(주)넷타겟 각 부문별 수시채용,(주)넷타겟,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43808669&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,상시채용,"['경력무관', '학력무관']","['백엔드/서버개발', ' 프론트엔드', ' 데이터마이닝', ' 머신러닝', ' S/W ']"
충북대학교병원 국책과제 개별고용연구원 채용(의료AI),충북대학교병원,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44144192&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충북 청주시 서원구 ,~ 11/05(토),"['신입·경력', '대졸↑']","['딥러닝', ' 머신러닝', ' 알고리즘개발', ' 학술연구', ' 알고리즘 ']"
[효성계열사] 신화인터텍(주) 각 부문 신입/경력 채용,신화인터텍(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44185456&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남 천안시 ,~ 11/11(금),"['신입·경력', '학력무관']","['AR(증강현실)', ' VR(가상현실)', ' Java', ' Javascript', ' PHP ']"
"[효성그룹계열사] ERP관리(IT), 전략기획 신입/ 경력 채용",신화인터텍(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43882108&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남전체 ,~ 10/30(일),"['경력2년↑', '초대졸↑']","['웹개발', ' 웹마스터', ' 정보보안', ' ERP', ' S/W ']"
(주)솔리드이엔지 사무직 - 클라우드 기술 신입사원 모집,(주)솔리드이엔지,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44015378&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/19(수),"['경력무관', '학력무관']","['기술지원', ' 유지보수', ' 정보보안', ' IT컨설팅', ' SE(시스템엔지니어) ']"
앤스코주식회사 2022년 신입 및 경력사원 채용,앤스코주식회사,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44022625&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/31(월),"['경력무관', '초대졸↑']","['S/W', ' 정보처리', ' 기계조작원', ' 전기제어', ' 비파괴검사원 ']"
소프트웨어개발부 신입&경력직 채용,케이.엘.이.에스(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44159810&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/06(일),"['신입·경력', '학력무관']","['백엔드/서버개발', ' 앱개발', ' 웹개발', ' 웹마스터', ' 반응형웹 ']"
[로봇사업본부] 사업개발팀원 채용,(주)트위니,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44157819&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,채용시,"['경력무관', '학력무관']","['HTML', ' Javascript', ' Python', ' R', ' 서비스기획 ']"
